i_v,j_v,i_v_q
113,146,0.0
114,114,-3.0000000000000018
114,115,3.0000000000000053
114,116,-3.0000000000000018
115,115,-3.0000000000000053
115,146,2.999999999999999
115,147,2.999999999999999
116,115,0.0
116,116,0.0
116,117,0.0
116,118,0.0
116,147,0.0
116,149,0.0
117,117,-3.0000000000000018
117,118,3.0000000000000053
117,119,-3.0000000000000018
118,120,2.999999999999999
118,118,-3.0000000000000053
118,149,2.999999999999999
119,90,0.0
119,91,0.0
119,120,0.0
119,122,0.0
119,118,0.0
119,119,0.0
120,120,-2.999999999999999
120,121,3.0000000000000036
120,122,-2.999999999999999
121,121,-3.000000000000006
121,150,2.999999999999999
121,179,2.999999999999999
122,121,0.0
122,122,0.0
122,123,0.0
122,124,0.0
122,150,0.0
122,152,0.0
123,123,-2.999999999999999
123,124,3.0000000000000036
123,125,-2.999999999999999
124,124,-3.000000000000006
124,152,2.999999999999999
124,153,2.999999999999999
125,124,0.0
125,125,0.0
125,126,0.0
125,127,0.0
125,153,0.0
125,155,0.0
126,126,-2.999999999999999
126,127,3.0000000000000036
126,128,-2.999999999999999
127,127,-3.000000000000006
127,155,2.999999999999999
127,156,2.999999999999999
128,127,0.0
128,128,0.0
128,129,0.0
128,130,0.0
128,156,0.0
128,158,0.0
129,129,-2.999999999999999
129,130,3.0000000000000036
129,131,-2.999999999999999
130,130,-3.000000000000006
130,158,2.999999999999999
130,159,2.999999999999999
131,130,0.0
131,131,0.0
131,132,0.0
131,133,0.0
131,159,0.0
131,161,0.0
132,132,-2.999999999999999
132,133,3.0000000000000036
132,134,-2.999999999999999
133,133,-3.000000000000006
133,161,2.999999999999999
133,162,2.999999999999999
134,133,0.0
134,134,0.0
134,135,0.0
134,136,0.0
134,162,0.0
134,164,0.0
135,135,-2.999999999999999
135,136,3.0000000000000036
135,137,-2.999999999999999
136,136,-3.000000000000006
136,164,2.999999999999999
136,165,2.999999999999999
137,136,0.0
137,137,0.0
137,138,0.0
137,139,0.0
137,165,0.0
137,167,0.0
138,138,-2.999999999999999
138,139,3.0000000000000036
138,140,-2.999999999999999
139,139,-3.000000000000006
139,167,2.999999999999999
139,168,2.999999999999999
140,139,0.0
140,140,0.0
140,141,0.0
140,142,0.0
140,168,0.0
140,170,0.0
141,141,-2.999999999999999
141,142,3.0000000000000036
141,143,-2.999999999999999
142,142,-3.000000000000006
142,170,2.999999999999999
142,171,2.999999999999999
143,142,0.0
143,143,0.0
143,144,0.0
143,145,0.0
143,171,0.0
143,173,0.0
144,144,-2.999999999999999
144,145,3.0000000000000036
144,146,-2.999999999999999
145,145,-3.000000000000006
145,173,2.999999999999999
145,174,2.999999999999999
146,145,0.0
146,146,0.0
146,147,0.0
146,148,0.0
146,174,0.0
146,176,0.0
147,147,-2.999999999999999
147,148,3.0000000000000036
147,149,-2.999999999999999
148,148,-3.000000000000006
148,176,2.999999999999999
148,177,2.999999999999999
149,120,0.0
149,121,0.0
149,148,0.0
149,149,0.0
149,177,0.0
149,179,0.0
150,150,-2.999999999999999
150,151,2.999999999999997
150,152,-2.999999999999999
151,151,-3.0000000000000133
151,182,2.999999999999991
151,183,2.999999999999991
152,151,0.0
152,152,0.0
152,153,0.0
152,154,0.0
152,183,0.0
152,185,0.0
153,153,-2.999999999999999
153,154,2.999999999999997
153,155,-2.999999999999999
154,154,-3.0000000000000133
154,185,2.999999999999991
154,186,2.999999999999991
155,154,0.0
155,155,0.0
155,156,0.0
155,157,0.0
155,186,0.0
155,188,0.0
156,156,-2.999999999999999
156,157,2.999999999999997
156,158,-2.999999999999999
157,157,-3.0000000000000133
157,188,2.999999999999991
157,189,2.999999999999991
158,157,0.0
158,158,0.0
158,159,0.0
158,160,0.0
158,189,0.0
158,191,0.0
159,159,-2.999999999999999
159,160,2.999999999999997
159,161,-2.999999999999999
160,160,-3.0000000000000133
160,191,2.999999999999991
160,192,2.999999999999991
161,160,0.0
161,161,0.0
161,162,0.0
161,163,0.0
161,192,0.0
161,194,0.0
162,162,-2.999999999999999
162,163,2.999999999999997
162,164,-2.999999999999999
163,163,-3.0000000000000133
163,194,2.999999999999991
163,195,2.999999999999991
164,163,0.0
164,164,0.0
164,165,0.0
164,166,0.0
164,195,0.0
164,197,0.0
165,165,-2.999999999999999
165,166,2.999999999999997
165,167,-2.999999999999999
166,166,-3.0000000000000133
166,197,2.999999999999991
166,198,2.999999999999991
167,166,0.0
167,167,0.0
167,168,0.0
167,169,0.0
167,198,0.0
167,200,0.0
168,168,-2.999999999999999
168,169,2.999999999999997
168,170,-2.999999999999999
169,169,-3.0000000000000133
169,200,2.999999999999991
169,201,2.999999999999991
170,169,0.0
170,170,0.0
170,171,0.0
170,172,0.0
170,201,0.0
170,203,0.0
171,171,-2.999999999999999
171,172,2.999999999999997
171,173,-2.999999999999999
172,172,-3.0000000000000133
172,203,2.999999999999991
172,204,2.999999999999991
173,172,0.0
173,173,0.0
173,174,0.0
173,175,0.0
173,204,0.0
173,206,0.0
174,174,-2.999999999999999
174,175,2.999999999999997
174,176,-2.999999999999999
175,175,-3.0000000000000133
175,206,2.999999999999991
175,207,2.999999999999991
176,175,0.0
176,176,0.0
176,177,0.0
176,178,0.0
176,207,0.0
176,209,0.0
177,177,-2.999999999999999
177,178,2.999999999999997
177,179,-2.999999999999999
178,180,2.999999999999991
178,178,-3.0000000000000133
178,209,2.999999999999991
179,150,0.0
179,151,0.0
179,180,0.0
179,182,0.0
179,178,0.0
179,179,0.0
180,180,-2.9999999999999982
180,181,2.9999999999999956
180,182,-2.9999999999999982
181,181,-3.000000000000014
181,210,2.9999999999999947
181,239,2.9999999999999947
182,181,0.0
182,182,0.0
182,183,0.0
182,184,0.0
182,210,0.0
182,212,0.0
183,183,-2.9999999999999982
183,184,2.9999999999999956
183,185,-2.9999999999999982
184,184,-3.000000000000014
184,212,2.9999999999999947
184,213,2.9999999999999947
185,184,0.0
185,185,0.0
185,186,0.0
185,187,0.0
185,213,0.0
185,215,0.0
186,186,-2.9999999999999982
186,187,2.9999999999999956
186,188,-2.9999999999999982
187,187,-3.000000000000014
187,215,2.9999999999999947
187,216,2.9999999999999947
188,187,0.0
188,188,0.0
188,189,0.0
188,190,0.0
188,216,0.0
188,218,0.0
189,189,-2.9999999999999982
189,190,2.9999999999999956
189,191,-2.9999999999999982
190,190,-3.000000000000014
190,218,2.9999999999999947
190,219,2.9999999999999947
191,190,0.0
191,191,0.0
191,192,0.0
191,193,0.0
191,219,0.0
191,221,0.0
192,192,-2.9999999999999982
192,193,2.9999999999999956
192,194,-2.9999999999999982
193,193,-3.000000000000014
193,221,2.9999999999999947
193,222,2.9999999999999947
194,193,0.0
194,194,0.0
194,195,0.0
194,196,0.0
194,222,0.0
194,224,0.0
195,195,-2.9999999999999982
195,196,2.9999999999999956
195,197,-2.9999999999999982
196,196,-3.000000000000014
196,224,2.9999999999999947
196,225,2.9999999999999947
197,196,0.0
197,197,0.0
197,198,0.0
197,199,0.0
197,225,0.0
197,227,0.0
198,198,-2.9999999999999982
198,199,2.9999999999999956
198,200,-2.9999999999999982
